time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
32657,1.67,-2.15,1.01,0.04,0.39,1.25
32673,1.99,-2.50,1.20,-0.08,0.34,1.20
32687,2.04,-2.80,1.55,-0.13,0.32,1.07
32703,1.91,-2.93,1.46,-0.20,0.32,0.80
32717,1.59,-2.84,1.64,-0.19,0.36,0.73
32731,1.41,-2.86,1.67,-0.17,0.38,0.70
32745,1.11,-3.05,1.67,-0.27,0.30,0.62
32759,0.89,-3.32,1.62,-0.36,0.25,0.52
32775,0.61,-3.56,1.61,-0.49,0.10,0.32
32789,0.53,-3.77,1.36,-0.53,0.03,0.28
32805,0.53,-3.83,1.11,-0.54,-0.06,0.28
32819,0.46,-3.79,1.10,-0.55,-0.08,0.26
32833,0.14,-3.76,0.89,-0.62,-0.11,0.21
32847,0.02,-4.00,0.90,-0.88,-0.18,0.04
32862,-0.67,-4.46,1.11,-1.00,-0.22,-0.07
32877,-0.76,-4.68,1.78,-1.05,-0.25,-0.25
32891,-0.59,-5.03,1.92,-0.98,-0.28,-0.21
32907,1.02,-5.51,1.44,-0.53,-0.28,-0.17
32921,1.56,-5.43,1.07,-0.14,-0.18,-0.20
32935,1.99,-4.89,0.27,0.42,0.18,-0.30
32949,1.82,-4.83,0.21,0.63,0.32,-0.36
32966,1.05,-4.60,0.22,1.04,0.31,-0.60
32980,0.81,-4.30,0.25,1.23,0.25,-0.76
32994,-0.02,-3.52,0.26,1.41,0.20,-0.90
33008,-0.37,-3.34,0.33,1.67,0.16,-1.07
33024,-1.52,-2.82,0.56,1.73,0.17,-1.15
33038,-1.74,-2.60,0.58,1.65,0.09,-1.34
33053,-1.80,-2.18,0.35,1.54,-0.01,-1.41
33068,-1.39,-1.98,0.17,1.25,-0.25,-1.52
33082,-1.12,-1.83,0.00,1.10,-0.35,-1.56
33096,-0.43,-1.67,-0.25,0.86,-0.51,-1.69
33110,-0.34,-1.50,-0.37,0.73,-0.57,-1.79
33126,-0.26,-0.95,-0.57,0.48,-0.60,-2.02
33140,-0.28,-0.42,-0.68,0.39,-0.60,-2.12
33156,-0.56,0.10,-0.80,0.25,-0.64,-2.27
33170,-0.79,0.33,-0.79,0.18,-0.65,-2.36
33184,-1.04,0.73,-0.91,0.11,-0.67,-2.45
33198,-1.14,0.95,-1.01,0.03,-0.70,-2.60
33212,-1.11,1.31,-1.30,0.01,-0.70,-2.62
33228,-1.24,1.96,-1.49,0.02,-0.67,-2.55
33242,-1.14,2.36,-1.66,0.03,-0.66,-2.48
33258,-1.16,2.94,-1.78,0.03,-0.69,-2.36
33272,-1.13,3.24,-1.66,0.02,-0.70,-2.32
33286,-0.84,3.75,-1.58,-0.03,-0.72,-2.24
33300,-0.83,3.89,-1.67,-0.04,-0.54,-2.08
33316,-1.23,4.31,-1.71,0.01,-0.34,-1.81
33330,-1.42,4.51,-1.76,0.02,-0.31,-1.63
33344,-1.63,4.88,-2.06,0.04,-0.31,-1.44
33359,-1.65,5.02,-2.06,0.06,-0.30,-1.08
33373,-1.73,5.15,-1.98,0.06,-0.28,-0.89
