time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
35191,-1.40,3.11,-1.69,0.01,-0.94,-4.12
35205,-1.44,3.26,-1.83,-0.12,-0.96,-4.21
35221,-1.87,3.54,-1.92,-0.20,-0.88,-4.29
35235,-2.15,3.70,-1.93,-0.12,-0.77,-4.22
35249,-2.82,4.20,-1.94,-0.01,-0.65,-4.09
35264,-3.25,4.44,-2.00,0.27,-0.44,-3.74
35279,-3.82,4.69,-2.19,0.40,-0.36,-3.56
35293,-4.61,5.28,-2.43,0.60,-0.30,-3.17
35307,-4.93,5.53,-2.56,0.68,-0.30,-2.92
35323,-5.56,5.82,-2.74,0.76,-0.34,-2.34
35337,-5.74,5.85,-2.83,0.79,-0.35,-2.01
35351,-5.73,5.90,-3.02,0.80,-0.36,-1.67
35365,-5.73,6.02,-3.12,0.77,-0.32,-0.94
35381,-5.77,6.23,-3.04,0.72,-0.27,-0.54
35395,-5.86,6.17,-2.94,0.45,-0.17,0.28
35409,-5.95,6.08,-2.95,0.23,-0.13,0.67
35424,-5.59,5.71,-2.84,-0.32,-0.06,1.38
35438,-5.01,5.62,-2.95,-0.59,-0.06,1.71
35452,-3.92,5.54,-3.31,-1.10,-0.04,2.28
35466,-3.96,5.36,-3.25,-1.30,0.01,2.54
35482,-5.32,4.34,-2.45,-1.47,0.09,2.77
35496,-5.85,3.81,-1.95,-1.70,0.16,3.20
35511,-7.09,2.24,-1.01,-1.73,0.18,3.41
35525,-8.80,0.21,-0.25,-1.45,0.39,3.82
35539,-9.33,-0.85,0.03,-1.23,0.61,4.03
35553,-9.12,-2.38,0.24,-0.80,1.03,4.45
35567,-8.04,-2.53,0.12,-0.61,1.10,4.61
35583,-5.81,-2.64,-0.09,-0.18,1.03,4.60
35597,-3.85,-2.64,-0.17,0.04,0.93,4.42
35613,-1.60,-2.80,0.25,0.37,0.69,3.79
35627,0.50,-2.25,0.49,0.48,0.58,3.44
35641,1.53,-1.86,0.79,0.59,0.55,3.11
35655,2.97,-1.31,1.48,0.75,0.59,2.54
35669,3.68,-0.41,0.19,0.72,0.75,2.22
35685,2.96,0.89,3.45,-0.18,0.53,1.69
35699,2.96,-0.32,0.71,-0.90,0.13,1.52
35715,3.57,-1.96,1.26,-1.15,0.08,0.92
35730,3.56,-1.95,1.06,-1.09,0.01,0.65
35743,3.07,-1.72,0.72,-0.87,0.23,0.79
35757,2.81,-2.06,0.84,-0.66,0.36,1.01
35772,1.70,-2.42,0.72,-0.55,0.40,1.14
35787,1.49,-2.37,0.73,-0.45,0.34,1.14
35801,1.40,-2.42,0.72,-0.44,0.24,1.12
35816,1.32,-3.43,0.54,-0.34,0.04,1.18
35830,1.18,-3.87,0.58,-0.23,0.05,1.23
35844,0.23,-4.51,0.80,-0.07,0.24,1.38
35858,-0.07,-4.74,0.80,-0.05,0.32,1.48
35874,-1.59,-5.95,1.33,-0.28,0.34,1.51
35888,-2.04,-6.52,1.50,-0.51,0.30,1.39
35902,-2.08,-7.58,2.27,-0.79,0.23,1.19
35917,-1.62,-8.03,2.63,-1.18,-0.06,0.77
35931,-1.05,-8.54,2.83,-1.22,-0.23,0.58
35945,0.82,-9.94,2.93,-0.96,-0.16,0.08
35959,1.12,-10.27,2.87,-0.61,0.06,-0.21
35975,0.01,-11.17,2.47,0.47,0.51,-0.71
35989,-0.90,-10.96,2.61,1.03,0.72,-0.95
36003,-2.72,-9.50,1.92,1.50,0.83,-1.17
36018,-4.08,-7.55,1.13,2.12,0.75,-1.46
36033,-4.59,-6.48,0.68,2.23,0.60,-1.59
36047,-5.43,-4.12,0.21,1.93,0.03,-1.94
36061,-5.59,-3.63,0.01,1.51,-0.43,-2.16
36077,-5.48,-2.98,-0.30,0.49,-1.48,-2.62
36091,-5.04,-2.74,-0.43,0.08,-1.94,-2.83
36105,-3.60,-2.02,-1.05,-0.52,-2.48,-3.26
36119,-1.84,-1.34,-1.35,-0.68,-2.46,-3.47
36135,-0.95,-0.36,-1.65,-0.75,-2.25,-3.66
36154,-0.83,0.72,-1.48,-0.70,-1.58,-3.94
36169,-0.98,1.41,-1.88,-0.59,-1.10,-4.12
36184,-1.05,2.06,-2.39,-0.52,-0.92,-4.15
36198,-1.67,4.06,-3.25,-0.33,-0.52,-4.11
36212,-2.09,4.70,-3.14,-0.21,-0.34,-4.02
36228,-2.53,5.05,-2.51,0.04,-0.20,-3.86
36242,-2.55,4.98,-2.35,0.10,-0.22,-3.87
36256,-2.49,4.54,-0.92,0.23,-0.25,-3.96
36270,-2.74,4.54,-0.87,0.30,-0.18,-3.94
36286,-3.64,4.45,-1.84,0.84,0.43,-3.51
36300,-4.20,4.83,-1.74,1.25,0.80,-3.19
36316,-5.19,6.02,-2.36,1.94,0.95,-2.51
36330,-5.54,6.92,-2.54,2.11,0.83,-2.18
36344,-5.58,7.24,-2.72,2.14,0.67,-1.87
36358,-5.27,7.79,-3.06,1.85,0.23,-1.34
36372,-5.19,7.91,-3.24,1.58,0.03,-1.07
36388,-5.18,7.98,-3.18,0.92,-0.16,-0.38
36402,-5.38,7.79,-2.76,0.53,-0.20,0.03
36418,-5.66,7.08,-2.49,-0.30,-0.27,0.85
36432,-6.09,6.08,-2.36,-0.68,-0.27,1.22
36446,-5.80,5.20,-2.28,-1.01,-0.28,1.55
36461,-5.36,4.88,-2.42,-1.47,-0.29,2.19
