time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
30190,-3.13,0.87,0.22,0.30,2.07,2.30
30204,-3.57,0.81,0.09,0.43,2.14,2.31
30218,-3.95,0.72,-0.17,0.50,2.12,2.35
30232,-3.91,0.71,-0.44,0.49,1.87,2.47
30246,-3.72,0.55,-0.39,0.39,1.64,2.47
30262,-3.07,0.07,0.07,0.08,1.14,2.29
30276,-2.68,-0.13,0.35,-0.12,0.91,2.16
30292,-1.38,0.44,1.43,-0.51,0.57,1.88
30307,-0.88,0.75,2.14,-0.78,0.40,1.77
30320,0.52,0.76,2.66,-1.95,-0.06,1.54
30334,1.94,-1.40,1.41,-2.86,-0.38,1.38
30350,3.32,-3.92,0.59,-3.01,-0.38,0.80
30364,3.50,-4.22,0.47,-2.43,-0.12,0.43
30378,3.34,-3.04,0.56,-1.64,-0.05,0.30
30393,3.38,-2.59,0.58,-0.49,0.23,0.83
30408,3.36,-2.71,1.02,-0.08,0.49,1.21
30422,3.02,-2.42,1.24,0.50,0.77,1.28
30437,2.45,-1.37,1.25,0.62,0.80,1.09
30453,2.16,-1.18,1.63,0.66,0.79,0.90
30467,2.15,-1.39,1.79,0.57,0.73,0.94
30481,2.57,-2.03,1.71,0.31,0.55,1.01
30495,2.70,-2.15,1.53,0.16,0.51,0.99
30511,2.16,-2.47,1.37,-0.13,0.60,0.95
30525,1.57,-2.79,1.63,-0.24,0.70,0.95
30541,-0.42,-3.90,2.24,-0.38,0.86,0.91
30555,-1.13,-4.25,2.51,-0.39,0.88,0.87
30569,-1.80,-4.56,2.76,-0.41,0.88,0.85
30583,-3.02,-5.69,3.36,-0.43,0.75,0.90
30597,-2.99,-6.07,3.33,-0.45,0.65,0.92
30613,-2.74,-7.06,3.13,-0.54,0.50,0.81
30627,-2.89,-7.39,3.25,-0.55,0.49,0.66
30643,-3.32,-7.87,4.19,-0.41,0.46,0.25
30657,-3.10,-7.81,4.35,-0.22,0.40,0.01
30671,-2.11,-7.35,3.90,0.03,0.29,-0.24
30685,-1.32,-6.88,3.36,0.59,0.09,-0.69
30700,-1.36,-6.26,3.01,0.86,0.06,-0.90
30715,-1.95,-5.51,2.97,1.25,0.03,-1.32
30729,-2.20,-4.99,2.78,1.39,-0.03,-1.49
30744,-2.45,-3.92,2.21,1.44,-0.38,-1.68
30758,-2.56,-3.21,1.54,1.39,-0.62,-1.75
30772,-2.84,-2.62,1.01,1.22,-1.04,-1.92
30786,-3.27,-2.31,0.65,1.15,-1.20,-2.03
30802,-3.81,-1.83,0.62,1.02,-1.50,-2.18
30816,-3.69,-1.57,0.25,0.94,-1.78,-2.23
30830,-1.97,-1.17,-0.40,0.87,-2.07,-2.27
30845,-1.27,-0.97,-0.62,0.69,-2.36,-2.42
30860,-0.25,-0.80,-0.92,0.61,-2.30,-2.52
30874,-0.14,-0.44,-1.42,0.58,-1.97,-2.67
30888,-0.37,-0.09,-1.55,0.60,-1.68,-2.78
30904,-0.82,0.97,-1.92,0.61,-1.51,-2.84
30918,-0.84,1.38,-2.05,0.58,-1.46,-2.88
30932,-0.67,2.16,-1.67,0.53,-1.42,-2.95
30946,-0.70,2.30,-1.77,0.37,-1.37,-3.05
30961,-0.82,2.38,-1.97,0.33,-1.28,-3.07
30976,-1.04,2.76,-2.34,0.36,-1.20,-2.94
30991,-0.82,3.35,-3.02,0.40,-1.27,-2.80
31006,-0.81,3.60,-3.22,0.50,-1.36,-2.55
31020,-0.87,3.87,-3.40,0.55,-1.36,-2.47
31034,-1.41,4.62,-3.72,0.61,-1.30,-2.23
31048,-1.80,4.81,-3.76,0.62,-1.27,-2.05
31064,-2.35,5.07,-3.85,0.64,-1.23,-1.62
31078,-2.34,5.10,-3.98,0.62,-1.20,-1.38
31094,-2.22,5.06,-4.24,0.52,-0.98,-0.88
31108,-2.04,5.16,-4.17,0.45,-0.81,-0.60
31122,-1.97,5.20,-4.08,0.37,-0.63,-0.28
31136,-1.84,5.15,-3.70,0.12,-0.21,0.39
31150,-1.97,5.10,-3.49,-0.04,0.03,0.70
31166,-2.76,4.91,-3.27,-0.40,0.54,1.27
31180,-3.71,4.71,-2.98,-0.57,0.75,1.55
31196,-3.87,4.20,-2.70,-0.93,0.97,2.13
31210,-3.20,3.61,-2.56,-1.08,1.04,2.37
31224,-1.75,3.09,-2.10,-1.23,1.13,2.75
31238,-1.08,2.89,-2.06,-1.24,1.19,2.88
31253,-0.57,2.19,-1.09,-1.20,1.30,2.98
31268,-0.83,1.81,-0.63,-0.99,1.61,2.97
31282,-2.04,1.31,-0.03,-0.82,1.78,2.92
31297,-3.46,0.69,0.56,-0.49,2.07,2.89
31311,-4.71,0.41,0.33,-0.33,2.15,2.98
31325,-5.19,-0.12,0.12,-0.10,2.14,3.25
31339,-5.07,-0.37,-0.01,-0.03,2.01,3.34
31355,-4.66,-0.87,0.02,-0.11,1.59,3.35
31369,-4.42,-1.25,0.24,-0.20,1.38,3.27
31383,-3.09,-1.92,1.13,-0.31,1.20,3.13
31398,-2.45,-2.23,1.73,-0.55,0.91,2.81
31412,-1.64,-2.45,1.69,-0.65,0.76,2.64
31426,0.66,-2.37,1.32,-1.14,0.59,2.36
31440,1.15,-2.79,1.47,-1.24,0.62,2.17
31457,1.73,-3.78,1.10,-1.33,0.62,1.67
31471,1.61,-4.07,1.21,-1.27,0.70,1.44
31485,0.94,-4.35,2.31,-1.13,0.82,1.28
31499,0.85,-4.49,2.51,-0.83,0.83,1.15
31514,0.85,-4.63,2.53,-0.64,0.79,1.13
31528,1.55,-4.29,2.55,-0.28,0.68,1.03
31542,1.85,-4.15,2.61,-0.15,0.63,0.99
31558,2.52,-3.93,2.63,0.02,0.56,0.94
31572,2.67,-3.94,2.67,0.08,0.57,0.92
31586,2.38,-3.73,2.72,0.14,0.64,0.86
31600,1.90,-3.69,2.92,0.10,0.73,0.83
31616,0.80,-3.86,3.54,-0.01,0.93,0.75
31630,-0.09,-4.07,4.10,-0.13,0.90,0.70
31645,-0.62,-4.58,4.24,-0.25,0.78,0.66
31660,-1.15,-5.47,4.36,-0.45,0.56,0.62
31674,-1.44,-6.03,4.38,-0.47,0.54,0.59
31688,-1.86,-6.97,4.27,-0.41,0.54,0.51
31702,-2.39,-7.46,4.11,-0.35,0.47,0.44
31718,-2.86,-7.78,4.25,-0.18,0.28,0.21
31732,-2.99,-7.82,5.02,-0.06,0.16,0.04
31748,-2.30,-7.87,5.11,0.26,-0.16,-0.36
31762,-1.81,-7.86,4.77,0.47,-0.27,-0.57
31776,-1.32,-7.82,3.59,0.71,-0.28,-0.78
31790,-1.71,-7.59,3.39,1.26,-0.15,-1.16
31804,-2.66,-6.97,3.20,1.54,-0.15,-1.29
31820,-2.92,-5.81,2.57,1.93,-0.46,-1.47
31834,-2.85,-5.24,2.22,2.05,-0.71,-1.55
31850,-2.90,-4.01,1.26,2.11,-1.16,-1.74
31864,-3.08,-3.56,0.90,2.07,-1.29,-1.84
31879,-4.19,-2.67,1.27,1.88,-1.54,-1.97
31893,-4.44,-2.43,0.69,1.70,-1.82,-2.01
31909,-3.56,-1.60,-0.15,1.23,-2.41,-2.16
31923,-2.85,-1.26,-0.55,0.97,-2.57,-2.26
31937,-1.08,-0.72,-0.99,0.70,-2.58,-2.38
31951,-0.83,-0.43,-1.15,0.27,-2.43,-2.63
31966,-0.64,-0.18,-1.33,0.11,-2.33,-2.75
31980,-0.51,0.34,-1.47,-0.12,-2.11,-2.95
31994,-0.65,0.57,-1.54,-0.21,-2.01,-3.05
32010,-1.17,0.98,-1.81,-0.30,-1.80,-3.22
32024,-1.34,1.24,-2.02,-0.27,-1.71,-3.27
32038,-1.63,1.86,-2.35,-0.10,-1.64,-3.23
32052,-1.50,2.36,-2.67,-0.00,-1.67,-3.16
32067,-1.40,2.68,-2.86,0.08,-1.71,-3.08
32081,-1.02,3.26,-3.27,0.21,-1.74,-2.93
32095,-0.99,3.53,-3.43,0.28,-1.73,-2.85
32111,-1.13,4.05,-3.81,0.45,-1.62,-2.65
32125,-1.36,4.45,-3.99,0.53,-1.54,-2.50
32139,-1.93,4.95,-4.11,0.64,-1.40,-2.14
32153,-2.15,5.15,-4.16,0.65,-1.35,-1.94
32169,-2.25,5.36,-4.26,0.63,-1.15,-1.52
32188,-2.11,5.63,-4.23,0.60,-1.00,-1.28
32202,-2.13,5.68,-4.16,0.51,-0.63,-0.72
32216,-2.19,5.71,-4.07,0.43,-0.43,-0.42
32230,-2.41,5.89,-4.10,0.18,-0.00,0.21
32244,-2.63,5.95,-4.02,-0.00,0.21,0.56
32260,-3.54,5.78,-3.79,-0.46,0.58,1.29
32274,-3.71,5.56,-3.57,-0.70,0.76,1.65
32288,-3.37,4.49,-3.13,-0.93,0.91,1.99
32303,-2.81,4.06,-3.01,-1.31,1.08,2.57
32318,-2.20,3.76,-2.97,-1.43,1.16,2.79
32332,-1.58,3.11,-2.69,-1.54,1.32,3.17
32346,-1.63,2.78,-2.34,-1.53,1.42,3.31
32362,-3.28,1.65,-1.30,-1.37,1.70,3.43
32376,-4.05,1.12,-0.83,-1.22,1.87,3.42
32390,-5.56,0.08,-0.12,-0.83,2.15,3.47
32404,-6.40,-0.61,0.11,-0.63,2.23,3.55
32420,-5.85,-1.47,0.44,-0.43,2.28,3.63
32434,-5.05,-1.84,0.44,-0.02,2.28,3.69
32450,-4.20,-2.28,0.76,0.26,2.13,3.51
32464,-3.70,-2.46,1.25,0.34,2.02,3.36
32478,-2.57,-2.29,1.75,0.36,1.86,3.19
32492,-1.24,-2.32,3.07,0.22,1.39,2.74
32506,0.40,-2.06,2.30,0.04,1.05,2.47
32522,1.80,-2.06,1.98,-0.52,0.76,1.92
32537,2.20,-2.13,2.02,-0.80,0.84,1.68
32553,1.87,-4.14,1.14,-1.16,1.02,1.31
32567,1.44,-4.82,1.70,-0.93,1.14,1.07
32581,0.49,-3.70,2.68,-0.55,0.95,0.72
32595,0.60,-3.46,2.80,-0.49,0.75,0.79
32611,1.65,-3.68,3.01,-0.37,0.46,0.97
32625,1.98,-3.73,3.00,-0.38,0.37,0.91
32639,2.43,-3.56,2.99,-0.39,0.32,0.80
32654,2.48,-3.68,2.94,-0.51,0.34,0.69
32668,2.45,-3.88,3.00,-0.57,0.38,0.73
32682,1.54,-4.41,3.36,-0.67,0.51,0.79
32696,1.14,-4.56,3.52,-0.69,0.60,0.75
32712,0.04,-5.14,3.75,-0.73,0.70,0.63
32726,-0.31,-5.44,3.86,-0.75,0.65,0.60
32740,-1.52,-6.83,3.87,-0.76,0.59,0.60
32755,-1.84,-7.32,4.01,-0.69,0.51,0.60
32770,-2.03,-7.71,3.82,-0.60,0.49,0.56
32784,-3.01,-8.37,3.64,-0.40,0.34,0.41
32798,-3.44,-8.50,3.87,-0.30,0.27,0.28
32814,-3.91,-8.56,5.51,-0.05,0.14,-0.08
32828,-3.34,-8.42,5.57,0.09,-0.03,-0.29
32842,-1.66,-7.88,4.40,0.40,-0.42,-0.73
32856,-0.84,-7.29,2.86,0.55,-0.46,-0.95
32872,-1.75,-6.70,2.23,0.85,-0.16,-1.40
32886,-2.94,-6.24,2.26,0.99,-0.07,-1.61
32902,-3.40,-5.55,2.11,1.11,-0.16,-1.80
