time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
33663,-1.21,-0.87,1.59,0.07,1.09,2.40
33677,-0.64,-1.30,1.52,0.08,1.00,2.27
33691,0.01,-0.88,1.96,-0.03,0.91,1.91
33705,0.67,-0.95,1.27,-0.20,0.76,1.90
33721,1.13,-2.68,1.24,-0.09,0.81,1.78
33736,0.87,-2.66,1.46,-0.02,0.86,1.54
33750,0.55,-2.37,1.52,0.17,0.87,1.26
33764,0.49,-2.40,1.76,0.27,0.84,1.24
33780,0.56,-2.14,2.12,0.23,0.67,1.21
33794,0.71,-2.08,2.12,0.15,0.58,1.15
33810,1.38,-2.08,2.46,-0.10,0.42,0.93
33824,1.56,-2.14,2.53,-0.23,0.33,0.82
33838,1.70,-2.17,2.51,-0.36,0.25,0.74
33852,1.88,-2.46,2.10,-0.57,0.19,0.63
33866,1.81,-2.63,1.99,-0.65,0.19,0.58
33882,1.03,-3.08,1.81,-0.78,0.18,0.41
33896,0.67,-3.24,1.78,-0.83,0.14,0.32
33912,-0.50,-4.02,1.86,-0.82,0.06,0.22
33926,-0.90,-4.32,1.89,-0.76,0.03,0.18
33940,-1.73,-4.75,1.51,-0.67,0.01,0.15
33954,-1.96,-4.81,1.46,-0.48,-0.02,0.11
33969,-2.52,-4.98,1.51,-0.38,-0.03,0.08
33984,-2.53,-5.01,1.70,-0.31,-0.13,-0.08
33998,-2.40,-5.06,1.96,-0.28,-0.19,-0.20
34014,-1.42,-5.39,2.40,-0.09,-0.20,-0.45
34028,-1.11,-5.35,2.29,0.09,-0.11,-0.56
34042,-0.88,-5.15,1.48,0.57,0.06,-0.74
34056,-1.14,-4.86,1.09,0.80,0.12,-0.84
34072,-1.80,-4.23,0.96,1.17,0.09,-1.08
34086,-2.35,-3.94,0.92,1.30,-0.03,-1.19
34100,-2.66,-3.58,0.86,1.40,-0.22,-1.30
34115,-2.82,-3.18,0.83,1.62,-0.56,-1.45
34130,-2.90,-2.82,0.60,1.75,-0.64,-1.49
34144,-3.16,-2.14,0.24,1.89,-0.71,-1.50
34163,-3.07,-1.59,-0.56,1.79,-0.93,-1.56
34177,-2.82,-1.37,-0.76,1.64,-1.11,-1.64
34191,-1.91,-1.23,-1.02,1.47,-1.30,-1.73
34205,-1.18,-0.70,-1.11,1.18,-1.47,-1.95
34219,-0.96,-0.32,-1.41,1.07,-1.43,-2.08
34235,-0.98,0.94,-1.64,0.88,-1.29,-2.33
34249,-1.14,1.43,-1.82,0.71,-1.32,-2.47
34265,-1.26,2.42,-2.24,0.21,-1.46,-2.77
34279,-1.28,2.61,-2.41,-0.08,-1.52,-2.91
34293,-1.42,2.53,-2.46,-0.34,-1.56,-3.01
34307,-1.57,2.61,-2.54,-0.62,-1.58,-3.06
